"","Subset_1","Subset_2","Subset_3","Subset_4","Subset_5","Subset_6","Subset_7","Subset_8","Subset_9","Subset_10","Subset_11","Subset_12","Subset_13","Subset_14","Subset_15","Subset_16","Subset_17","Subset_18","Subset_19","Subset_20","Subset_21","Subset_22","Subset_23","Subset_24","Subset_25","Subset_26","Subset_27","Subset_28","Subset_29","Subset_30","Subset_31","Subset_32","Subset_33","Subset_34","Subset_35","Subset_36","Subset_37","Subset_38","Subset_39","Subset_40","Subset_41","Subset_42","Subset_43","Subset_44","Subset_45","Subset_46","Subset_47"
"13",0,0.444444444444444,6.22222222222222,0.555555555555556,1.88888888888889,1,0,0,0,0.555555555555556,0.777777777777778,0.111111111111111,8.11111111111111,0,0,1.66666666666667,0.444444444444444,0.555555555555556,0.444444444444444,0,0,0.888888888888889,0,0,0,0.222222222222222,2.11111111111111,63.7777777777778,2.88888888888889,0,0.444444444444444,0.444444444444444,5.55555555555556,0,0,0.333333333333333,0,0,0,0,0.444444444444444,0,0,0.111111111111111,0,0,0
"14",0,0.333333333333333,1,0.111111111111111,0.555555555555556,0.666666666666667,0,0,0.111111111111111,0.444444444444444,1.33333333333333,0.111111111111111,0.333333333333333,0,0.111111111111111,1.11111111111111,0.111111111111111,0,0.111111111111111,0.333333333333333,1.77777777777778,2.33333333333333,0,0.111111111111111,0.333333333333333,0.444444444444444,5.88888888888889,2.44444444444444,0.333333333333333,2.11111111111111,8.44444444444444,7.11111111111111,7,0.333333333333333,0.111111111111111,1.11111111111111,0,0.444444444444444,5.22222222222222,19.8888888888889,7.33333333333333,16,0.777777777777778,0,0.444444444444444,2.33333333333333,0.888888888888889
"15",0,0,0.666666666666667,0,0.444444444444444,0.222222222222222,0,0,0,0.333333333333333,1.11111111111111,0.111111111111111,0.222222222222222,0,0,2.33333333333333,0,0,0.444444444444444,0,6.11111111111111,2.44444444444444,0,0.111111111111111,0.111111111111111,0,14.8888888888889,0,0.111111111111111,3.11111111111111,13.7777777777778,15,3,0,0,0.111111111111111,0,0.222222222222222,0.111111111111111,32.2222222222222,1.66666666666667,0.888888888888889,0.222222222222222,0,0,0,0
"16",0,0.222222222222222,3.55555555555556,0.888888888888889,2.33333333333333,6.66666666666667,0,0,0,0.333333333333333,0.777777777777778,0.777777777777778,0.666666666666667,0,0,1.44444444444444,6.55555555555556,9.11111111111111,0,0,0,5.55555555555556,0,0,0,0,2.88888888888889,51,4.44444444444444,0,0,0.222222222222222,0.444444444444444,0,0,1.66666666666667,0.333333333333333,0,0.111111111111111,0,0,0,0,0,0,0,0
"17",0,0.333333333333333,0.777777777777778,0,0.555555555555556,1.44444444444444,0,0.111111111111111,0,0.111111111111111,0.333333333333333,0,4.11111111111111,0,0,0.111111111111111,0.111111111111111,0.222222222222222,0.333333333333333,0,0,0.444444444444444,0,0,0,0,0.222222222222222,0.444444444444444,0.333333333333333,0,0,0,0.333333333333333,0,0,3,0.555555555555556,0,0,0,0,0.111111111111111,0,86,0,0,0
"18",0,0.555555555555556,4,2.11111111111111,5.22222222222222,2.44444444444444,0,0,1.33333333333333,0.222222222222222,4.66666666666667,0,0.111111111111111,0,0,8.11111111111111,4.66666666666667,2.22222222222222,0,0,6.88888888888889,8,0,0,0.333333333333333,3.11111111111111,23.4444444444444,0.444444444444444,0.111111111111111,5.11111111111111,9.33333333333333,1.55555555555556,0.111111111111111,0,0,0.111111111111111,0,0.111111111111111,2.66666666666667,0,1,2,0,0,0,0,0
"19",0,0,0.222222222222222,0.333333333333333,0.222222222222222,1,0,0,2.22222222222222,1.66666666666667,1.44444444444444,0.222222222222222,0.555555555555556,0,0.222222222222222,2,0,0.333333333333333,0.444444444444444,2.11111111111111,1.77777777777778,3.55555555555556,0,0.444444444444444,2.44444444444444,0.555555555555556,1.55555555555556,1,0.222222222222222,2.22222222222222,9,2.11111111111111,5.55555555555556,0.333333333333333,0.111111111111111,2.66666666666667,0.222222222222222,0.333333333333333,2.33333333333333,9,9.44444444444444,9.11111111111111,1.77777777777778,0,0,1.44444444444444,19.7777777777778
"20",0,0.444444444444444,3.55555555555556,0.222222222222222,0.333333333333333,0.666666666666667,0,0,0,0.222222222222222,0.888888888888889,0.111111111111111,3,0,0,3.44444444444444,0,0.333333333333333,0.222222222222222,0,6,1,0,0,0,0,1.88888888888889,2.44444444444444,0.555555555555556,0.555555555555556,5.11111111111111,4,33.6666666666667,0,0.222222222222222,0.111111111111111,0,0,1.77777777777778,2.44444444444444,9.11111111111111,3.22222222222222,11.7777777777778,0.111111111111111,0.111111111111111,0.222222222222222,2.22222222222222
"21",0,0.666666666666667,3.11111111111111,0.666666666666667,0.555555555555556,0.555555555555556,0,0,0.666666666666667,0.444444444444444,1,0.222222222222222,0.111111111111111,0,0.222222222222222,1.66666666666667,0.333333333333333,0.222222222222222,0.111111111111111,0.666666666666667,1.11111111111111,2,0,0,0.222222222222222,1,4.11111111111111,8.88888888888889,0.333333333333333,2.11111111111111,17.6666666666667,7.55555555555556,11.6666666666667,0.555555555555556,0.333333333333333,0.111111111111111,0,0.333333333333333,7.33333333333333,3.55555555555556,10,9,0.222222222222222,0,0.111111111111111,0.444444444444444,0.111111111111111
"22",0.111111111111111,0,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,0,0,0.222222222222222,0,0.111111111111111,0,0,0,0,0,0,99.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
