"p-IKAROS"	"p-S6"	"p-CREB"	"p-AKT"	"p-PLCg"	"p-STAT5"	"p-4EBP1"	"p-ERK"	"p-Syk"
"9"	-8.81926416901827	-7.83899100745715	-5.48280624190773	0.111320619426813	0.0775209867824905	0.118419647071311	0.173341887726685	0.181935869865384	0.210515402916153
"22"	-8.57961115691457	-8.29731566298056	-5.47447774261003	0.0324441462618564	0.0110248808049457	0.0532826535777142	0.143914340134223	0.102501275544212	0.148023171050997
"16"	-8.74360637162503	-8.30778319483809	-5.43123194842866	0.0896728927584077	0.0415032877036879	0.0858572848800363	0.17341417362517	0.153079284149071	0.177841715377004
"21"	-8.82854216790908	-8.29427045438043	-5.50716648132829	0.0730522235581123	0.0429328221245324	0.0945935556518652	0.159049015441652	0.111434534775715	0.186715129702081
"6"	-8.70849201259379	-8.19992544674925	-5.38355992118405	0.0850088002895611	0.0429688250866234	0.0837749635599771	0.142277432737869	0.158777429613229	0.192420046298098
"25"	-8.70509930014907	-8.21305136772157	-5.43100005071987	0.0792576417190846	0.0548440745658231	0.123075444525644	0.159154135619316	0.127475856258915	0.169544267226353
"17"	-8.61463907287312	-8.10076124667211	-5.3374047577742	0.0707619366820122	0.0513784162024604	0.0990986968335131	0.171685781721104	0.166349663216451	0.169843704135945
"4"	-8.68256514135667	-8.12400566736363	-5.29637235261386	0.0884340706080404	0.0635942524946177	0.0652368252493332	0.183105757242318	0.188475308566194	0.176367056324351
"5"	-8.61127232454452	-8.18817147859188	-5.35561802695924	0.0902777586009188	0.0613641208010066	0.0983023571531834	0.188783260166455	0.175265298656805	0.199136018207757
"11"	-8.6506710654572	-8.20157958538314	-5.36571400516209	0.0849176931170195	0.0424330588385223	0.110318314193597	0.188948205086516	0.172044789393404	0.19990667860383
