"p-IKAROS"	"p-S6"	"p-CREB"	"p-AKT"	"p-PLCg"	"p-STAT5"	"p-4EBP1"	"p-ERK"	"p-Syk"
"34"	1.87855616156549	0.0954621302458462	0.372850056072263	0.0686538667745127	0.0706600914563945	0.0269506349554419	0.0955242793392269	0.062472480576974	0.0190881021679025
"19"	1.58972603101737	0.00690265031821563	0.142180347148969	0.0421347597751388	0.0813983174055993	0.0489431818328341	0.0485074766018352	0.057194980677655	0.370307928464251
"7"	1.01500346178165	0.0689854731883583	0.0451722684667927	0.0777478562213151	0.0827803878378686	0.0893571838555865	0.0971786691322007	0.0714116715112935	0.0676844769978483
"23"	0.220088633999517	2.40848044277103	1.45310980656461	0.661072433702015	0.825019314488237	0.843573760057106	0.999956386668378	1.03702222203783	0.593952676697811
"8"	0.0640569052211513	2.76075642377132	1.34919841516036	1.36885612741161	0.357974005454051	0.401996963669442	0.343121283846829	0.739582365297057	0.628333636956707
"14"	0	3.76955485954215	2.05147828970758	0.598735827149246	0.173110831656339	0.443005427596258	0.90096873315527	1.28635212849758	1.01087591797591
"1"	0.328888569724063	2.41179704660086	2.11953960832487	0.766263644423948	1.37780471876741	1.015681452556	1.31915226148378	1.034050173387	1.60839827556281
"38"	0.780017211373442	0.741335304376757	0.710966054005535	0.0688117028389935	0.0836024717043733	0.0259696557207832	0.134662672152473	0.0118441299754396	0.0401832361428741
"37"	0.386999871923187	0.992798950086014	1.11082833366263	0.0677749149136689	0.0717267286246027	0.0625020098248564	0.0400153517721432	0.0405069700918126	0.00543684217505034
"40"	1.16415682210381	0.523298112988239	0.308886727312079	0.0585433574857555	0.0800156441648504	0.0638521380787007	0.0369997833215968	0.00303940007022908	0.0123545104033719
"32"	0.941064664996819	0.600719006104514	0.205036239203637	0.0748276672948212	0.0782819452198338	0.0748876046058427	0.0540211984916373	0.00619565792289329	0.0416292461991615
"24"	0.632856993580449	0.55504829446554	0.120808165124928	0.0596138478200134	0.0760290010694747	0.0513583693926374	0.0517945600142871	0.0045946365612416	0.0553994714148916
"33"	0.728678937829043	0.379625966254043	0.346118960388048	0.0707220137493464	0.0708934279906853	0.0756028520944193	0.0452013662175018	0.0356546238584481	0.0274265264970353
"15"	0.925795020095001	0.228263650500891	0.184085627498057	0.0733624249977914	0.100405989584217	0.0749178941245967	0.0664871209727315	0.0492869571064313	0.0575378166411258
"10"	0.00298473345161032	1.91634515932267	0.0282526767880533	0.0836668341238034	0.0838281244158985	0.085519526139506	0.0828182639030651	0.0526654966743085	0.0820216810920639
"18"	0.349132888681381	1.43321514425122	0.194743304419185	0.0618205803134373	0.0905313551375198	0.0782347755687696	0.0676204221308635	0.0514504144176233	0.0602962326181806
"3"	0.220408753502852	0.62991257193756	0.11406923230824	0.0533302079856525	0.0687206102103837	0.0557567056403004	0.056056542735405	0.0207538386147415	0.0389152197328846
