"p-S6"	"CyclinB1"	"p-STAT3"	"p-STAT5"	"p-ERK"	"p-p38"	"p-NFkB"	"p-STAT1"	"p-AKT"
"20"	0.373443823430281	0.786940327482114	0.350013266967811	0.0875542970776301	0.0930344450560279	0.00956928132534831	0.307138064066463	0.17684872881582	0.0579308917486804
"25"	0.266650349342128	0.497742288124294	0.327113777755823	0.0700453093331141	0.0342097663502795	0.00792065439171021	0.227978683018468	0.11390627789147	0.0154920004919521
"27"	0.271544092707851	0.511587038295674	0.293550721643422	0.0559628333096102	0.257104374748874	0.454984094520104	0.308366917891714	0.224364555712714	0.100347905654138
"26"	0.398232421951118	0.708904706437008	0.397578286196793	0.119363099184216	0.246727300368014	0.311524052477142	0.296182156475579	0.223511282582978	0.149180543184988
"30"	0.464013114025437	0.560257696844583	0.312602811507874	0.0766718401095272	0.162689135190501	0.167431296041442	0.285273799736721	0.176318454050447	0.0534080064699261
"24"	0.0250516307442755	0.0822143801646816	0.0284772007071927	0.0527290615109863	0.0495181808150369	0.0645348640616992	0.0385613472046847	0.0579643809310601	0.066146576861288
"28"	0.0638143780065219	0.0535814283246682	0.0692663384159604	0.08036828708438	0.0822976223850904	0.0876091730908733	0.0676470759478119	0.0876843199073363	0.0830322356340077
"22"	0.109907216376918	0.249720779563566	0.178447106522378	0.0191662803304152	0.197240518616201	0.340802111194386	0.791964822799675	0.180689224380322	0.0151232661593705
"38"	0.104739388551006	0.237067396372541	0.233700458439198	0.00888621686681132	0.124512520286302	0.165092491029348	0.244438230654603	0.264723834653961	0.0276191607614508
"34"	0.156533116051411	0.1606990565853	0.29764369993721	0.0270260602716762	0.416168042251808	0.154097401192065	0.543525037722279	0.559041134438137	0.051161914343177
"37"	0.108419068572818	0.220914968979403	0.386471830785713	0.0837913347581398	0.358259139651878	0.213925583473525	0.804506769179312	0.76637225881846	0.104487459373296
"41"	0.147798072005185	0.0863777301624396	0.517797417577267	0.0884211091252959	0.271216920970496	0.616550768422835	1.15131970545315	1.29880190123704	0.156596115245858
"31"	0.0830398731710471	0.0113922528283919	0.383266828469842	0.065996319625762	0.0976095921549367	0.00909649512744849	1.05196922753286	0.651826682743796	0.116323542941411
"40"	0.0176316155905617	0.0210163112524473	0.320808161850006	0.00942045225595568	0.0692192088025845	0.271768229516403	0.340450241811753	0.573767813050355	0.0924542352660223
"42"	0.0653055397792899	0.142453474481589	0.313830532713866	0.0360164763145737	0.167369037175087	0.229442918264787	0.684214824267197	0.71295452049629	0.0581820178946188
"33"	0.0832136173946967	0.0185249729987344	0.259501763786105	0.0110858769942258	0.11522486741749	0.28124394092596	0.740244797218308	0.776250298295195	0.0482267750607451
