"NCAM"	"CD133"	"TUJ1"	"CD15"	"CD49F"	"HLA-DR"	"Nestin"	"CD34"	"PDGFRa"	"CD117"	"CD171"	"SOX2"	"CD44"	"GFAP"	"EGFR"	"S100B"
"44"	2.3790123979973	0.8088778795535	1.79594895125683	0.105338372481624	0.712450746169708	0.583958609396022	1.30554485614017	0.274274373649801	0.149760373015038	0.013136499773352	0.154800192849759	1.63368540666058	1.93957742361711	4.06814961840338	1.26668272904643	0.0863585184374513
"36"	1.05429601821834	0.692881217614284	0.017765508370763	0.600426039791089	0.778342509031691	0.261697469147429	0.0959621241779331	0.24735748311384	0.108166671607744	0.174730500101322	0.0438240025524926	2.37368499706259	2.86874281556098	2.05614264479796	0.175601240952574	0.197323783513136
"43"	0.721890005901386	0.830218473076584	1.0466694618313	0.159750522866527	2.12491894943398	1.00854720390195	0.602265549795065	0.828242007703952	0.105384247460496	0.126541126474034	0.060319902906203	0.999937094822588	4.32538566653068	1.94418617710896	2.26467053661271	0.130387031785909
"37"	0.370734411671406	0.155874736911942	0.0446125296798106	0.168663714956019	0.516345264328876	0.959283085410171	0.128289343161461	0.0867885112248357	0.0342782033381975	0.0512077498645961	0.0804721578163096	0.761589242523166	3.94157509740312	2.61096629941649	1.88556415539234	0.124860920386082
"39"	0.55911573951653	0.266667034692587	0.182916791033507	0.192089954811055	0.719914075131334	0.316009567261496	0.301186278310594	0.231685214812423	0.0250659292982273	0.0284811717831309	0.111769355207027	1.31047993758846	1.58071782136346	2.18622655048938	3.9487500142298	0.149542866614624
"38"	0.217969743937569	0.586095171137983	0.0228710954809174	0.0909879762347223	3.77238648668662	0.225505631770082	0.0071115392726576	0.218639305663518	0.04889465704436	0.0107574088336129	0.00685974154547643	0.554687894393731	0.984411071732255	1.16279945196026	0.338094867122182	0.075268360293282
"32"	0.0188453344336989	0.129786850665927	0.106413913006445	0.689351630889222	0.705640919813671	0.795730486776191	0.0667891016770653	0.0413429729750186	0.0302327125966584	0.114693324623452	0.157401345442076	2.71090172890475	0.769696536349211	1.17648825292715	5.24831755803701	0.061807297603244
"31"	0.0142607891669018	0.0264771855712418	0.0976535682421869	0.137500392206963	0.206752240411391	0.16091345405339	0.0435517738176992	0.0418490054108968	0.0764227284870724	0.09853765243089	0.0935047985149168	1.17740793323396	0.488565267902667	0.94893098133246	4.21475172592176	0.0299983835985937
"40"	0.0744167411930701	0.0285585324799812	0.0621507872853435	3.72331108369551	0.0517818693261595	0.0204148774569025	0.0449011799978535	0.0344480924900314	0.0513950553071026	0.0640063954752488	0.0283397497868254	0.586365440499359	0.527641165752101	0.588288716824677	0.546648692283861	0.0111753104588372
"42"	0.0734443394193982	0.100361213866411	0.0689399005584711	0.2056668878298	0.244601143217067	0.0895443242109273	0.00601669384322823	0.00371979921030496	0.0371402196688883	0.042452767094959	0.0190547707173015	0.873712123678393	3.29214038142582	1.29933474254936	0.00798100105020324	0.0559634462773323
