"NCAM"	"CD133"	"TUJ1"	"CD15"	"CD49F"	"HLA-DR"	"Nestin"	"CD34"	"PDGFRa"	"CD117"	"CD171"	"SOX2"	"CD44"	"GFAP"	"EGFR"	"S100B"
"14"	0.778776358510019	0.5	1.00124275328013	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.33317679755193	0.5	0.902378498459804	0.5	1.11768644138121
"35"	1.22478817861199	0.749698898921956	0.590943067723063	0.653579999440363	0.783683854223251	0.706478270300301	0.630134305879632	0.606874115196386	0.5	0.5	0.519127733554444	1.95514751597644	1.08903767251467	1.80936595939296	0.646117697939035	1.09585378841012
"22"	1.43608504778342	0.548275846012745	0.926903659060544	0.791107265697933	0.704697934633247	0.734060318184378	0.5	0.503735239139982	0.5	0.5	0.69312100869191	1.54439952896345	1.38617468910604	1.42781412117745	1.42456075335675	1.33737520873657
"26"	1.24851471681174	0.52851989994722	1.43194115174579	0.626932180156182	0.5	0.693421026194429	0.5	0.5	0.5	0.5	0.941898548231357	1.50365940928172	1.00468404121219	1.05808605939261	0.734726222378522	1.55341523960222
"27"	1.64191030285324	0.67099188359665	1.38816195445145	0.643805133574579	0.684852171604724	1.18540241975359	0.971560565153194	0.60570606589121	0.5	0.5	1.05488004299584	1.47310024626425	1.2295076113721	1.31872433188206	1.79766753001233	0.834248505657139
"30"	1.02777045822358	0.537473101293891	0.5	0.5	0.5	0.609077562542826	0.5	0.5	0.5	0.5	0.5	1.4303993130744	1.06048043596572	1.18305243257738	1.36208325692453	0.998987831727119
"44"	1.3294289403826	0.825687859941828	1.24756160003348	0.5	0.840673653656375	0.829418488026706	1.48518120331428	0.547179923807725	0.543320396964972	0.5	0.5	1.15566628632971	1.18807762610059	1.64587117397339	1.32840489384829	0.5
"36"	1.66176250245344	1.19777427804629	0.5	0.744475546035987	0.994352851368633	0.67746561256446	0.5	0.683068777464843	0.5	0.681070781048006	0.5	1.14232408034016	1.45959467677733	1.40824705141753	0.554396522918776	0.571403328254434
"43"	1.14019657712677	1.00985839133834	2.06491374379452	0.547518989772064	3.41454640330235	2.23577210352943	1.37404010798168	1.27330113197068	0.5	0.5	0.5	1.61323202564666	1.58634154226675	2.09623418407377	2.01150347627125	0.560710015156977
"37"	0.905526679625316	0.537148068208001	0.5	0.551174452516505	0.946090138049326	1.84640556716213	0.5	0.5	0.5	0.5	0.5	1.17594920416005	1.36336734634285	1.36664064077023	1.78159403466394	0.529763353841832
"39"	1.28505547441701	0.687884248316365	0.810540257368139	0.534148858677917	1.16344023401906	0.798561038309819	1.13467806541338	0.679835825506656	0.5	0.5	0.5	1.46697569662504	1.85184755760025	2.57315118659417	2.54386048881717	0.616319414108197
"38"	0.955710557172618	0.756230098252114	0.5	0.5	1.40508762261955	0.917613755073973	0.5	0.817011913379169	0.5	0.5	0.5	1.26800137544553	1.6400103557303	1.63839475043083	1.33384979455793	0.587729756799369
"32"	0.5	0.54279225946289	0.5	0.825199920396811	1.00123881297183	1.85108480475028	0.5	0.5	0.5	0.5	0.524376410967116	1.1646970479898	1.65331572785195	1.16491400686487	1.44707295533849	0.5
"31"	0.5	0.5	0.5	0.511729697134601	0.661047025041027	0.580934738620426	0.5	0.5	0.5	0.5	0.5	1.35862096707002	1.26643588575416	1.1919302738031	1.14908449867353	0.5
"40"	0.5	0.5	0.5	1.54287089248646	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.27586240570076	1.15749607576216	1.57205802089172	0.85601680687291	0.5
"42"	0.5	0.5	0.5	0.530588144958106	0.640490129748297	0.5	0.5	0.5	0.5	0.5	0.5	1.12784246314349	0.974312791439897	0.993330761933283	0.5	0.5
"41"	0.5	0.5	0.5	0.5	0.5	1.91910840959329	0.5	0.5	0.5	0.5	0.5	1.00544552573724	1.08741484024699	1.06804068392362	0.5	0.5
"34"	0.521344477203649	0.5	0.5	0.5	0.708375299681891	0.597604085472997	0.5	0.5	0.5	0.5	0.5	1.15824655022076	1.67817474756612	1.3065453126102	0.5	0.5
"33"	0.5	0.5	0.5	0.5	0.5	0.667065819603146	0.5	0.738308096229093	0.5	0.5	0.5	0.636612774883496	0.811632404512281	0.962476439603511	0.5	0.5
"28"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"29"	0.5	0.5	0.5	0.589974680383695	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.95426853434109	1.208754865069	1.05757288628533	0.5	0.891336014893153
"25"	0.762583928930474	0.5	0.593059545475966	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.788935451909925	0.510183656173682	0.635256175520827	0.5	0.627697873986614
"24"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.894150677439894	0.5	0.5	0.5	0.935780029105076
