"p-S6"	"CyclinB1"	"p-STAT3"	"p-STAT5"	"p-ERK"	"p-p38"	"p-NFkB"	"p-STAT1"	"p-AKT"
"39"	0.673357302917245	1.16116162532954	1.09357235016058	0.587185686075091	0.741177229334838	0.747811702710712	0.807872903579521	1.01323771866554	0.716644122050631
"14"	0.823822856255288	1.11973892509654	0.960012751650747	0.742494419893381	0.5	0.5	0.702465092340566	0.613889467274244	0.603645260395809
"20"	0.672192267575654	1.0554212549459	0.684350948672429	0.5	0.5	0.5	0.588599640385756	0.5	0.5
"25"	0.636200208480858	0.934953351512113	0.771323640920989	0.5	0.5	0.5	0.575301753323389	0.5	0.5
"27"	0.821898179076374	0.995291575617692	0.861108827602463	0.5	0.589111653223825	0.82802120140941	0.624088891307668	0.572775031570278	0.545589422577255
"26"	0.903107216089808	1.12053818234245	0.846349498062637	0.511002750400639	0.570454400792652	0.630531842704532	0.611295390067877	0.610807099798815	0.517474504612767
"30"	0.95780700253869	1.06116926347553	0.80713080288941	0.5	0.5	0.705329531389046	0.695427307265234	0.562906741696694	0.5
"24"	0.5	0.621912456388498	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"28"	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
"22"	0.558201924318792	0.813739726362025	0.601294951998737	0.5	0.561092751148442	0.68898861751111	0.856328856774889	0.625724206877559	0.5
"38"	0.542158285081005	0.819332614430617	0.714669461209121	0.5	0.5	0.618103009832638	0.684730873355163	0.780397279578528	0.5
"34"	0.5	0.600208481231323	0.62288463421516	0.5	0.649130186661702	0.532040268079402	0.735542801063483	0.848509897447488	0.5
"37"	0.5	0.730391584902275	0.727660911553111	0.5	0.605665766400516	0.630166505631309	0.841369745305269	0.95460005251976	0.5
"41"	0.5	0.5	0.791916048141545	0.5	0.508115429212876	0.905529286647495	1.04268191109233	1.10243912425341	0.5
"31"	0.5	0.513254817293812	0.821429248917598	0.5	0.5	0.5	0.888558097798129	1.03951286369646	0.566579965019098
"40"	0.5	0.5	0.792515416686387	0.5	0.5	0.753420511973351	0.615986172306482	1.05801054394808	0.5
"42"	0.5	0.600487132894524	0.648253526039832	0.5	0.5	0.599671246137934	0.848185121488394	0.867109186505123	0.5
"33"	0.5	0.5	0.653460424446764	0.5	0.5	0.73128341363859	1.04921815104404	1.15309002306889	0.5
